2025-12-15 10:24:02.147 | WARN | [LoginServer] MainServer disconnected
2025-12-15 10:53:10.754 | WARN | [LoginServer] MainServer disconnected
2025-12-15 10:59:15.708 | WARN | [LoginServer] MainServer disconnected
2025-12-15 11:00:19.051 | WARN | [LoginServer] MainServer disconnected
2025-12-15 11:04:35.585 | WARN | [LoginServer] MainServer disconnected
2025-12-15 11:06:09.544 | WARN | [LoginServer] MainServer disconnected
2025-12-15 12:10:21.219 | WARN | [LoginServer] MainServer disconnected
2025-12-15 12:11:19.966 | WARN | [LoginServer] MainServer disconnected
2025-12-16 01:48:14.478 | WARN | [LoginServer] MainServer disconnected
2025-12-16 03:58:41.503 | WARN | [LoginServer] MainServer disconnected
2025-12-16 05:24:16.256 | WARN | [LoginServer] MainServer disconnected
2025-12-16 05:29:46.926 | WARN | [LoginServer] MainServer disconnected
2025-12-16 05:34:59.883 | WARN | [LoginServer] MainServer disconnected
2025-12-16 05:51:43.866 | WARN | [LoginServer] MainServer disconnected
2025-12-16 05:54:24.221 | WARN | [LoginServer] MainServer disconnected
2025-12-16 06:34:12.435 | WARN | [LoginServer] MainServer disconnected
2025-12-16 06:41:43.944 | WARN | [LoginServer] MainServer disconnected
2025-12-16 06:45:25.927 | WARN | [LoginServer] MainServer disconnected
2025-12-16 06:46:46.181 | WARN | [LS:System] Unknown pktId=2002
2025-12-16 06:47:03.844 | WARN | [LoginServer] MainServer disconnected
2025-12-16 06:50:19.404 | WARN | [LS:System] Unknown pktId=2002
2025-12-16 06:51:42.790 | WARN | [LS:System] Unknown pktId=2002
2025-12-16 06:54:08.512 | WARN | [LoginServer] MainServer disconnected
2025-12-16 23:13:36.840 | WARN | [LoginServer] MainServer disconnected
2025-12-16 23:18:39.157 | WARN | [LoginServer] MainServer disconnected
2025-12-17 00:45:59.584 | WARN | [LoginServer] MainServer disconnected
2025-12-17 00:49:55.598 | WARN | [LoginServer] MainServer disconnected
2025-12-17 01:28:39.852 | WARN | [LoginServer] MainServer disconnected
2025-12-17 02:11:35.701 | WARN | [LoginServer] MainServer disconnected
2025-12-17 03:42:35.797 | WARN | [LoginServer] MainServer disconnected
2025-12-17 03:58:26.085 | WARN | [LoginServer] MainServer disconnected
2025-12-17 04:34:13.436 | WARN | [LoginServer] MainServer disconnected
2025-12-17 04:38:03.514 | WARN | [LoginServer] MainServer disconnected
